Average_Download_Speed,Maximum_Download_Speed,Postcode,Partial_Postcode,Town,District,County
119.9,200,BS10 5DL,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
60,200,BS10 5DX,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
60,200,BS10 5DX,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
60,200,BS10 5DX,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
60.2,152,BS10 5EL,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
78.2,150,BS10 5LG,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
78.2,150,BS10 5LG,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
62.7,200,BS10 5LZ,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
84.2,200,BS10 5NG,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
73.4,200,BS10 7AA,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
79.3,150,BS10 7AD,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
79.3,150,BS10 7AD,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
79.3,150,BS10 7AD,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
79.3,150,BS10 7AD,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
79.3,150,BS10 7AD,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
97.8,200,BS10 7AE,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
97.8,200,BS10 7AE,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
89.2,200,BS10 7DG,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
16.9,42.3,BS10 7FG,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
16.9,42.3,BS10 7FG,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
16.9,42.3,BS10 7FG,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
16.9,42.3,BS10 7FG,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
16.9,42.3,BS10 7FG,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
16.9,42.3,BS10 7FG,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
89,200,BS10 7QX,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
89,200,BS10 7QX,BS10 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
67.7,200,BS11 0BZ,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
54.2,200,BS11 0DE,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
44.2,200,BS11 0DJ,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
32.1,106.3,BS11 0FH,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
32.1,106.3,BS11 0FH,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
32.1,106.3,BS11 0FH,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
32.1,106.3,BS11 0FH,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
32.1,106.3,BS11 0FH,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
32.1,106.3,BS11 0FH,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
32.1,106.3,BS11 0FH,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
33.9,100,BS11 0QE,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
84.9,200,BS11 0RJ,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
20.8,70,BS11 0UT,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
20.8,70,BS11 0UT,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
20.8,70,BS11 0UT,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
66.6,152,BS11 9AH,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
66.6,152,BS11 9AH,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
66.6,152,BS11 9AH,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
66.6,152,BS11 9AH,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
22.9,50,BS11 9AQ,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
22.9,50,BS11 9AQ,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
22.9,50,BS11 9AQ,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
22.9,50,BS11 9AQ,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
54.1,200,BS11 9AR,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
54.1,200,BS11 9AR,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
54.1,200,BS11 9AR,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
54.1,200,BS11 9AR,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
77.8,200,BS11 9AS,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
77.8,200,BS11 9AS,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
77.8,200,BS11 9AS,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
15.1,80,BS11 9DB,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
101.5,200,BS11 9EU,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
19.7,22.6,BS11 9FP,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
19.7,22.6,BS11 9FP,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
17.8,55,BS11 9HS,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
17.8,55,BS11 9HS,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
17.8,55,BS11 9HS,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
7.4,40,BS11 9QB,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
7.4,40,BS11 9QB,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
7.4,40,BS11 9QB,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
7.4,40,BS11 9QB,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
7.4,40,BS11 9QB,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
7.4,40,BS11 9QB,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
7.4,40,BS11 9QB,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
7.4,40,BS11 9QB,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
7.4,40,BS11 9QB,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
7.4,40,BS11 9QB,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
91.6,200,BS11 9SA,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
91.6,200,BS11 9SA,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
91.6,200,BS11 9SA,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
100.3,200,BS11 9TN,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
100.3,200,BS11 9TN,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
100.3,200,BS11 9TN,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
77.5,200,BS11 9TX,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
77.5,200,BS11 9TX,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
77.5,200,BS11 9TX,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
77.5,200,BS11 9TX,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
77.5,200,BS11 9TX,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
77.5,200,BS11 9TX,BS11 ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
