Partial_Postcode,Population2023,LSOA_Code,Postcode,Town,District,County
BS1 5,3174.71883267455,E01014542,BS1 5AL,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS1 6,4210.499763195547,E01033370,BS1 6DD,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS1 6,4210.499763195547,E01033355,BS1 6LB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS1 6,4210.499763195547,E01033355,BS1 6HL,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS1 6,4210.499763195547,E01033353,BS1 6FH,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS1 6,4210.499763195547,E01033355,BS1 6LA,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS1 6,4210.499763195547,E01033370,BS1 6FF,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS2 0,2935.3830448454264,E01033352,BS2 0QF,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS2 0,2935.3830448454264,E01033352,BS2 0JT,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS2 0,2935.3830448454264,E01033353,BS2 0DF,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS2 0,2935.3830448454264,E01033358,BS2 0BW,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS2 0,2935.3830448454264,E01033358,BS2 0BX,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS2 0,2935.3830448454264,E01014540,BS2 0JB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS2 0,2935.3830448454264,E01033358,BS2 0NR,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS2 0,2935.3830448454264,E01033358,BS2 0BZ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS2 0,2935.3830448454264,E01033353,BS2 0XA,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS2 0,2935.3830448454264,E01033353,BS2 0XS,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS2 8,5986.411533389799,E01033342,BS2 8HT,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
