School_Name,Attainment_Score,Town,Postcode,Partial_Postcode,County,Year,District
Andalusia Academy Bristol,58.8,Bristol,BS2 0BA,BS2 ,Bristol,2021-2022,NA
Ashton Park School,46.6,Bristol,BS3 2JL,BS3 ,Bristol,2021-2022,NA
Badminton School,42.7,Bristol,BS9 3BA,BS9 ,Bristol,2021-2022,NA
Bedminster Down School,40.6,Bristol,BS13 7DQ,BS13,Bristol,2021-2022,NA
Blaise High School,43.3,Bristol,BS10 7QH,BS10,Bristol,2021-2022,NA
Bridge Learning Campus,35.8,Bristol,BS13 0RL,BS13,Bristol,2021-2022,NA
Bristol Brunel Academy,48.2,Bristol,BS15 1NU,BS15,Bristol,2021-2022,NA
Bristol Cathedral Choir School,59.3,Bristol,BS1 5TS,BS1 ,Bristol,2021-2022,NA
Bristol Free School,51.8,Bristol,BS10 6NJ,BS10,Bristol,2021-2022,NA
Bristol Grammar School,16.4,Bristol,BS8 1SR,BS8 ,Bristol,2021-2022,NA
Bristol Metropolitan Academy,53.5,Bristol,BS16 2HD,BS16,Bristol,2021-2022,NA
The City Academy Bristol,38.8,Bristol,BS5 9JH,BS5 ,Bristol,2021-2022,NA
Cotham School,52.2,Bristol,BS6 6DT,BS6 ,Bristol,2021-2022,NA
Fairfield High School,54.7,Bristol,BS7 9NL,BS7 ,Bristol,2021-2022,NA
Kingsweston School,8,Bristol,BS11 0UT,BS11,Bristol,2021-2022,NA
Knowle DGE Academy,2.3,Bristol,BS4 1NN,BS4 ,Bristol,2021-2022,NA
LPW Independent School,0.4,Bristol,BS3 4AG,BS3 ,Bristol,2021-2022,NA
Merchants' Academy,36.1,Bristol,BS13 9AJ,BS13,Bristol,2021-2022,NA
Montpelier High School,63.7,Bristol,BS6 5RD,BS6 ,Bristol,2021-2022,NA
North Star 240°,8.9,Bristol,BS11 0QA,BS11,Bristol,2021-2022,NA
Oasis Academy Brightstowe,39.3,Bristol,BS11 0EB,BS11,Bristol,2021-2022,NA
Oasis Academy Brislington,44.8,Bristol,BS4 5EY,BS4 ,Bristol,2021-2022,NA
Oasis Academy John Williams,44.1,Bristol,BS14 9BU,BS14,Bristol,2021-2022,NA
Orchard School Bristol,43.9,Bristol,BS7 0XZ,BS7 ,Bristol,2021-2022,NA
Queen Elizabeth's Hospital,35.3,Bristol,BS8 1JX,BS8 ,Bristol,2021-2022,NA
Redland Green School,60.8,Bristol,BS6 7EH,BS6 ,Bristol,2021-2022,NA
Redmaids' High School,28.8,Bristol,BS9 3AW,BS9 ,Bristol,2021-2022,NA
St Bede's Catholic College,61.6,Bristol,BS11 0SU,BS11,Bristol,2021-2022,NA
St Bernadette Catholic Secondary School,48.5,Bristol,BS14 9LS,BS14,Bristol,2021-2022,NA
St Mary Redcliffe and Temple School,57.1,Bristol,BS1 6RT,BS1 ,Bristol,2021-2022,NA
Venturers' Academy,1,Bristol,BS13 9AX,BS13,Bristol,2021-2022,NA
Ashton Park School,46.6,Bristol,BS3 2JL,BS3 ,Bristol,2021-2022,NA
Bedminster Down School,40.6,Bristol,BS13 7DQ,BS13,Bristol,2021-2022,NA
Blaise High School,43.3,Bristol,BS10 7QH,BS10,Bristol,2021-2022,NA
Bridge Learning Campus,35.7,Bristol,BS13 0RL,BS13,Bristol,2021-2022,NA
Bristol Brunel Academy,48,Bristol,BS15 1NU,BS15,Bristol,2021-2022,NA
Bristol Cathedral Choir School,59.1,Bristol,BS1 5TS,BS1 ,Bristol,2021-2022,NA
Bristol Free School,51.7,Bristol,BS10 6NJ,BS10,Bristol,2021-2022,NA
Bristol Metropolitan Academy,53.3,Bristol,BS16 2HD,BS16,Bristol,2021-2022,NA
The City Academy Bristol,38.8,Bristol,BS5 9JH,BS5 ,Bristol,2021-2022,NA
Cotham School,51.8,Bristol,BS6 6DT,BS6 ,Bristol,2021-2022,NA
Fairfield High School,54.7,Bristol,BS7 9NL,BS7 ,Bristol,2021-2022,NA
Kingsweston School,8,Bristol,BS11 0UT,BS11,Bristol,2021-2022,NA
Knowle DGE Academy,2.3,Bristol,BS4 1NN,BS4 ,Bristol,2021-2022,NA
Merchants' Academy,36,Bristol,BS13 9AJ,BS13,Bristol,2021-2022,NA
Montpelier High School,63.6,Bristol,BS6 5RD,BS6 ,Bristol,2021-2022,NA
North Star 240°,8.9,Bristol,BS11 0QA,BS11,Bristol,2021-2022,NA
Oasis Academy Brightstowe,38.6,Bristol,BS11 0EB,BS11,Bristol,2021-2022,NA
Oasis Academy Brislington,44.7,Bristol,BS4 5EY,BS4 ,Bristol,2021-2022,NA
