"S_No","Price","Date of Transfer","Postcode","Town","District","County","Partial_Postcode"
181,265000,2020,"TR15 3NF","REDRUTH","CORNWALL","CORNWALL","TR15 "
207,275000,2020,"TR2 5NH","TRURO","CORNWALL","CORNWALL","TR2 5"
215,310000,2020,"TR5 0UY","ST AGNES","CORNWALL","CORNWALL","TR5 0"
216,152550,2020,"TR26 2PH","ST IVES","CORNWALL","CORNWALL","TR26 "
232,315000,2020,"TR12 6SA","HELSTON","CORNWALL","CORNWALL","TR12 "
233,119025,2020,"TR8 4FA","NEWQUAY","CORNWALL","CORNWALL","TR8 4"
243,263500,2020,"TR19 6JU","PENZANCE","CORNWALL","CORNWALL","TR19 "
248,375000,2020,"TR16 4FH","REDRUTH","CORNWALL","CORNWALL","TR16 "
281,328222,2020,"BS7 9LT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 9"
282,154700,2020,"BS3 3NB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 3"
283,295000,2020,"BS7 9LS","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 9"
284,289000,2020,"BS3 1RE","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
285,195000,2020,"BS5 6HL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 6"
295,195000,2020,"BS5 8FB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 8"
296,310400,2020,"BS8 4LJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
305,296500,2020,"BS9 1PU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS9 1"
311,250000,2020,"BS16 1FF","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
333,380000,2020,"BS6 6QB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
337,295000,2020,"BS3 1DL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
420,225000,2020,"BS3 3NL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 3"
421,255000,2020,"BS3 3NQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 3"
431,260000,2020,"BS6 6AT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
432,226000,2020,"BS3 1AR","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
433,395000,2020,"BS8 4AW","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
434,133495,2020,"BS5 8FG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 8"
439,275678,2020,"BS7 9LU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 9"
503,224000,2020,"BS6 6NW","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
523,260000,2020,"BS6 6JB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
541,342000,2020,"BS8 1JP","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 1"
542,5e+05,2020,"BS9 1NA","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS9 1"
563,420000,2020,"BS6 6NG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
577,299950,2020,"BS8 2BZ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 2"
777,503500,2020,"TR2 4LH","TRURO","CORNWALL","CORNWALL","TR2 4"
787,160000,2020,"TR9 6QF","ST COLUMB","CORNWALL","CORNWALL","TR9 6"
799,170000,2020,"TR26 3HW","ST IVES","CORNWALL","CORNWALL","TR26 "
810,165000,2020,"TR7 3LR","NEWQUAY","CORNWALL","CORNWALL","TR7 3"
811,232000,2020,"TR11 5TR","FALMOUTH","CORNWALL","CORNWALL","TR11 "
835,180000,2020,"TR2 4EE","TRURO","CORNWALL","CORNWALL","TR2 4"
871,165000,2020,"TR4 8AP","TRURO","CORNWALL","CORNWALL","TR4 8"
882,350000,2020,"TR7 3NE","NEWQUAY","CORNWALL","CORNWALL","TR7 3"
898,490000,2020,"TR26 2NU","ST IVES","CORNWALL","CORNWALL","TR26 "
899,250000,2020,"TR4 8HH","TRURO","CORNWALL","CORNWALL","TR4 8"
966,75000,2020,"BS13 8PG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS13 "
967,320000,2020,"BS8 2EJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 2"
1066,264000,2020,"BS3 3NQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 3"
1067,249500,2020,"BS6 6JA","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
1068,240000,2020,"BS3 1RS","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
1084,391000,2020,"BS6 5AR","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
1085,202000,2020,"BS3 1BH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
1086,235000,2020,"BS3 1AT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
1087,242500,2020,"BS5 8FB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 8"
1096,212500,2020,"BS5 8FB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 8"
1097,252500,2020,"BS5 8FB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 8"
1098,213000,2020,"BS5 8FB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 8"
1236,155000,2020,"TR27 5AF","HAYLE","CORNWALL","CORNWALL","TR27 "
1237,215000,2020,"TR19 6AX","PENZANCE","CORNWALL","CORNWALL","TR19 "
1247,520000,2020,"TR3 6QY","TRURO","CORNWALL","CORNWALL","TR3 6"
1248,135000,2020,"TR4 9FB","TRURO","CORNWALL","CORNWALL","TR4 9"
1249,660000,2020,"TR8 4QY","NEWQUAY","CORNWALL","CORNWALL","TR8 4"
1250,93700,2020,"TR8 4GZ","NEWQUAY","CORNWALL","CORNWALL","TR8 4"
1251,97200,2020,"TR8 4GZ","NEWQUAY","CORNWALL","CORNWALL","TR8 4"
1268,2e+05,2020,"TR9 6GX","ST COLUMB","CORNWALL","CORNWALL","TR9 6"
1269,47000,2020,"TR27 6HG","HAYLE","CORNWALL","CORNWALL","TR27 "
1270,104400,2020,"PL13 2QZ","LOOE","CORNWALL","CORNWALL","PL13 "
1373,199950,2020,"BS10 7FG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS10 "
1374,125000,2020,"BS3 1HF","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
1393,230000,2020,"TR4 9EY","TRURO","CORNWALL","CORNWALL","TR4 9"
1409,305000,2020,"BS8 1AB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 1"
1424,245000,2020,"BS7 9FG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 9"
1425,150000,2020,"BS5 6RQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 6"
1426,160000,2020,"BS5 6RQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 6"
1427,166300,2020,"BS5 6RQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 6"
1428,196500,2020,"BS2 9NX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 9"
1429,275000,2020,"BS2 9NX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 9"
1430,227000,2020,"BS2 9NX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 9"
1459,530000,2020,"TR8 5BQ","NEWQUAY","CORNWALL","CORNWALL","TR8 5"
1460,387500,2020,"PL25 3FX","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
1469,207500,2020,"BS3 4AL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 4"
1470,370000,2020,"BS8 1RT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 1"
1480,250000,2020,"BS7 8NR","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 8"
1481,220000,2020,"BS2 9NX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 9"
1482,3e+05,2020,"BS2 9LL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 9"
1483,335000,2020,"BS2 9LL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 9"
1484,217000,2020,"BS5 9FN","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 9"
1485,666950,2020,"BS6 6BJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
1486,227500,2020,"BS2 9LL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 9"
1487,215000,2020,"BS2 9NX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 9"
1488,643500,2020,"BS6 6BJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
1489,455294,2020,"BS6 6BJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
1490,217000,2020,"BS5 9FN","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 9"
