LSOA_Code,Postcode,Partial_Postcode,Town,District,County
E01018895,TR15 3NF,TR15,REDRUTH,CORNWALL,CORNWALL
E01018845,TR2 5NH,TR2 5,TRURO,CORNWALL,CORNWALL
E01018852,TR5 0UY,TR5 0,ST AGNES,CORNWALL,CORNWALL
E01019011,TR26 2PH,TR26,ST IVES,CORNWALL,CORNWALL
E01018920,TR12 6SA,TR12,HELSTON,CORNWALL,CORNWALL
E01019049,TR8 4FA,TR8 4,NEWQUAY,CORNWALL,CORNWALL
E01019005,TR19 6JU,TR19,PENZANCE,CORNWALL,CORNWALL
E01018896,TR16 4FH,TR16,REDRUTH,CORNWALL,CORNWALL
E01014508,BS7 9LT,BS7 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014500,BS3 3NB,BS3 3,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014508,BS7 9LS,BS7 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014699,BS3 1RE,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014570,BS5 6HL,BS5 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014684,BS5 8FB,BS5 8,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014548,BS8 4LJ,BS8 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014709,BS9 1PU,BS9 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014577,BS16 1FF,BS16,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014562,BS6 6QB,BS6 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014698,BS3 1DL,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033362,BS3 3NL,BS3 3,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033362,BS3 3NQ,BS3 3,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014561,BS6 6AT,BS6 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01033361,BS3 1AR,BS3 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014544,BS8 4AW,BS8 4,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014684,BS5 8FG,BS5 8,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014508,BS7 9LU,BS7 9,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014562,BS6 6NW,BS6 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014560,BS6 6JB,BS6 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014554,BS8 1JP,BS8 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014710,BS9 1NA,BS9 1,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014560,BS6 6NG,BS6 6,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01014552,BS8 2BZ,BS8 2,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
E01018848,TR2 4LH,TR2 4,TRURO,CORNWALL,CORNWALL
E01019065,TR9 6QF,TR9 6,ST COLUMB,CORNWALL,CORNWALL
E01018985,TR26 3HW,TR26,ST IVES,CORNWALL,CORNWALL
E01019048,TR7 3LR,TR7 3,NEWQUAY,CORNWALL,CORNWALL
E01018828,TR11 5TR,TR11,FALMOUTH,CORNWALL,CORNWALL
E01018847,TR2 4EE,TR2 4,TRURO,CORNWALL,CORNWALL
E01018825,TR4 8AP,TR4 8,TRURO,CORNWALL,CORNWALL
E01019048,TR7 3NE,TR7 3,NEWQUAY,CORNWALL,CORNWALL
