School Name,Attainment Score,Town,Postcode,Partial_Postcode,County,Year
Andalusia Academy Bristol,58.8,Bristol,BS2 0BA,BS2 0,CITY OF BRISTOL,2022
Ashton Park School,46.6,Bristol,BS3 2JL,BS3 2,CITY OF BRISTOL,2022
Badminton School,42.7,Bristol,BS9 3BA,BS9 3,CITY OF BRISTOL,2022
Bedminster Down School,40.6,Bristol,BS13 7DQ,BS13 ,CITY OF BRISTOL,2022
Blaise High School,43.3,Bristol,BS10 7QH,BS10 ,CITY OF BRISTOL,2022
Bridge Learning Campus,35.8,Bristol,BS13 0RL,BS13 ,CITY OF BRISTOL,2022
Bristol Brunel Academy,48.2,Bristol,BS15 1NU,BS15 ,CITY OF BRISTOL,2022
Bristol Cathedral Choir School,59.3,Bristol,BS1 5TS,BS1 5,CITY OF BRISTOL,2022
Bristol Free School,51.8,Bristol,BS10 6NJ,BS10 ,CITY OF BRISTOL,2022
Bristol Grammar School,16.4,Bristol,BS8 1SR,BS8 1,CITY OF BRISTOL,2022
Bristol Metropolitan Academy,53.5,Bristol,BS16 2HD,BS16 ,CITY OF BRISTOL,2022
The City Academy Bristol,38.8,Bristol,BS5 9JH,BS5 9,CITY OF BRISTOL,2022
Cotham School,52.2,Bristol,BS6 6DT,BS6 6,CITY OF BRISTOL,2022
Fairfield High School,54.7,Bristol,BS7 9NL,BS7 9,CITY OF BRISTOL,2022
Kingsweston School,8,Bristol,BS11 0UT,BS11 ,CITY OF BRISTOL,2022
Knowle DGE Academy,2.3,Bristol,BS4 1NN,BS4 1,CITY OF BRISTOL,2022
LPW Independent School,0.4,Bristol,BS3 4AG,BS3 4,CITY OF BRISTOL,2022
Merchants' Academy,36.1,Bristol,BS13 9AJ,BS13 ,CITY OF BRISTOL,2022
Montpelier High School,63.7,Bristol,BS6 5RD,BS6 5,CITY OF BRISTOL,2022
North Star 240°,8.9,Bristol,BS11 0QA,BS11 ,CITY OF BRISTOL,2022
Oasis Academy Brightstowe,39.3,Bristol,BS11 0EB,BS11 ,CITY OF BRISTOL,2022
Oasis Academy Brislington,44.8,Bristol,BS4 5EY,BS4 5,CITY OF BRISTOL,2022
Oasis Academy John Williams,44.1,Bristol,BS14 9BU,BS14 ,CITY OF BRISTOL,2022
Orchard School Bristol,43.9,Bristol,BS7 0XZ,BS7 0,CITY OF BRISTOL,2022
Queen Elizabeth's Hospital,35.3,Bristol,BS8 1JX,BS8 1,CITY OF BRISTOL,2022
Redland Green School,60.8,Bristol,BS6 7EH,BS6 7,CITY OF BRISTOL,2022
Redmaids' High School,28.8,Bristol,BS9 3AW,BS9 3,CITY OF BRISTOL,2022
St Bede's Catholic College,61.6,Bristol,BS11 0SU,BS11 ,CITY OF BRISTOL,2022
St Bernadette Catholic Secondary School,48.5,Bristol,BS14 9LS,BS14 ,CITY OF BRISTOL,2022
St Mary Redcliffe and Temple School,57.1,Bristol,BS1 6RT,BS1 6,CITY OF BRISTOL,2022
Venturers' Academy,1,Bristol,BS13 9AX,BS13 ,CITY OF BRISTOL,2022
Ashton Park School,46.6,Bristol,BS3 2JL,BS3 2,CITY OF BRISTOL,2022
Bedminster Down School,40.6,Bristol,BS13 7DQ,BS13 ,CITY OF BRISTOL,2022
Blaise High School,43.3,Bristol,BS10 7QH,BS10 ,CITY OF BRISTOL,2022
Bridge Learning Campus,35.7,Bristol,BS13 0RL,BS13 ,CITY OF BRISTOL,2022
Bristol Brunel Academy,48,Bristol,BS15 1NU,BS15 ,CITY OF BRISTOL,2022
Bristol Cathedral Choir School,59.1,Bristol,BS1 5TS,BS1 5,CITY OF BRISTOL,2022
Bristol Free School,51.7,Bristol,BS10 6NJ,BS10 ,CITY OF BRISTOL,2022
Bristol Metropolitan Academy,53.3,Bristol,BS16 2HD,BS16 ,CITY OF BRISTOL,2022
The City Academy Bristol,38.8,Bristol,BS5 9JH,BS5 9,CITY OF BRISTOL,2022
Cotham School,51.8,Bristol,BS6 6DT,BS6 6,CITY OF BRISTOL,2022
Fairfield High School,54.7,Bristol,BS7 9NL,BS7 9,CITY OF BRISTOL,2022
Kingsweston School,8,Bristol,BS11 0UT,BS11 ,CITY OF BRISTOL,2022
Knowle DGE Academy,2.3,Bristol,BS4 1NN,BS4 1,CITY OF BRISTOL,2022
Merchants' Academy,36,Bristol,BS13 9AJ,BS13 ,CITY OF BRISTOL,2022
Montpelier High School,63.6,Bristol,BS6 5RD,BS6 5,CITY OF BRISTOL,2022
North Star 240°,8.9,Bristol,BS11 0QA,BS11 ,CITY OF BRISTOL,2022
Oasis Academy Brightstowe,38.6,Bristol,BS11 0EB,BS11 ,CITY OF BRISTOL,2022
Oasis Academy Brislington,44.7,Bristol,BS4 5EY,BS4 5,CITY OF BRISTOL,2022
Oasis Academy John Williams,44.1,Bristol,BS14 9BU,BS14 ,CITY OF BRISTOL,2022
Orchard School Bristol,43.8,Bristol,BS7 0XZ,BS7 0,CITY OF BRISTOL,2022
Redland Green School,60.7,Bristol,BS6 7EH,BS6 7,CITY OF BRISTOL,2022
St Bede's Catholic College,61.5,Bristol,BS11 0SU,BS11 ,CITY OF BRISTOL,2022
St Bernadette Catholic Secondary School,48.5,Bristol,BS14 9LS,BS14 ,CITY OF BRISTOL,2022
St Mary Redcliffe and Temple School,57,Bristol,BS1 6RT,BS1 6,CITY OF BRISTOL,2022
Venturers' Academy,1,Bristol,BS13 9AX,BS13 ,CITY OF BRISTOL,2022
Ashton Park School,47.1,Bristol,BS3 2JL,BS3 2,CITY OF BRISTOL,2023
Badminton School,42.3,Bristol,BS9 3BA,BS9 3,CITY OF BRISTOL,2023
Bedminster Down School,39.3,Bristol,BS13 7DQ,BS13 ,CITY OF BRISTOL,2023
Belgrave School,29.3,Bristol,BS13 8RA,BS13 ,CITY OF BRISTOL,2023
Blaise High School,41.1,Bristol,BS10 7QH,BS10 ,CITY OF BRISTOL,2023
Bridge Learning Campus,37.7,Bristol,BS13 0RL,BS13 ,CITY OF BRISTOL,2023
Bristol Brunel Academy,46.9,Bristol,BS15 1NU,BS15 ,CITY OF BRISTOL,2023
Bristol Cathedral Choir School,54.9,Bristol,BS1 5TS,BS1 5,CITY OF BRISTOL,2023
Bristol Free School,57.8,Bristol,BS10 6NJ,BS10 ,CITY OF BRISTOL,2023
Bristol Grammar School,12.3,Bristol,BS8 1SR,BS8 1,CITY OF BRISTOL,2023
Bristol Metropolitan Academy,45.4,Bristol,BS16 2HD,BS16 ,CITY OF BRISTOL,2023
The City Academy Bristol,35.9,Bristol,BS5 9JH,BS5 9,CITY OF BRISTOL,2023
Cotham School,47.4,Bristol,BS6 6DT,BS6 6,CITY OF BRISTOL,2023
Elmfield School for Deaf Children,2.3,Bristol,BS7 0PU,BS7 0,CITY OF BRISTOL,2023
Fairfield High School,45.5,Bristol,BS7 9NL,BS7 9,CITY OF BRISTOL,2023
Kingsweston School,13.7,Bristol,BS11 0UT,BS11 ,CITY OF BRISTOL,2023
Knowle DGE Academy,2.6,Bristol,BS4 1NN,BS4 1,CITY OF BRISTOL,2023
LPW Independent School,0.8,Bristol,BS3 4AG,BS3 4,CITY OF BRISTOL,2023
Merchants' Academy,29.3,Bristol,BS13 9AJ,BS13 ,CITY OF BRISTOL,2023
Montpelier High School,57.5,Bristol,BS6 5RD,BS6 5,CITY OF BRISTOL,2023
North Star 240°,7.9,Bristol,BS11 0QA,BS11 ,CITY OF BRISTOL,2023
Notton House Academy,3.1,Chippenham,SN15 2NF,SN15 ,CITY OF BRISTOL,2023
Oasis Academy Brightstowe,37.4,Bristol,BS11 0EB,BS11 ,CITY OF BRISTOL,2023
Oasis Academy Brislington,43.3,Bristol,BS4 5EY,BS4 5,CITY OF BRISTOL,2023
Oasis Academy John Williams,39.7,Bristol,BS14 9BU,BS14 ,CITY OF BRISTOL,2023
Orchard School Bristol,39.8,Bristol,BS7 0XZ,BS7 0,CITY OF BRISTOL,2023
Queen Elizabeth's Hospital,35.7,Bristol,BS8 1JX,BS8 1,CITY OF BRISTOL,2023
Redland Green School,60.6,Bristol,BS6 7EH,BS6 7,CITY OF BRISTOL,2023
Redmaids' High School,30.9,Bristol,BS9 3AW,BS9 3,CITY OF BRISTOL,2023
St Bede's Catholic College,57.8,Bristol,BS11 0SU,BS11 ,CITY OF BRISTOL,2023
St Bernadette Catholic Secondary School,45.0,Bristol,BS14 9LS,BS14 ,CITY OF BRISTOL,2023
St Mary Redcliffe and Temple School,54.4,Bristol,BS1 6RT,BS1 6,CITY OF BRISTOL,2023
Ashton Park School,47.1,Bristol,BS3 2JL,BS3 2,CITY OF BRISTOL,2023
Badminton School,42.1,Bristol,BS9 3BA,BS9 3,CITY OF BRISTOL,2023
Bedminster Down School,39.4,Bristol,BS13 7DQ,BS13 ,CITY OF BRISTOL,2023
Belgrave School,29.3,Bristol,BS13 8RA,BS13 ,CITY OF BRISTOL,2023
Blaise High School,41.1,Bristol,BS10 7QH,BS10 ,CITY OF BRISTOL,2023
Bridge Learning Campus,37.7,Bristol,BS13 0RL,BS13 ,CITY OF BRISTOL,2023
Bristol Brunel Academy,46.8,Bristol,BS15 1NU,BS15 ,CITY OF BRISTOL,2023
Bristol Cathedral Choir School,54.7,Bristol,BS1 5TS,BS1 5,CITY OF BRISTOL,2023
Bristol Free School,57.6,Bristol,BS10 6NJ,BS10 ,CITY OF BRISTOL,2023
Bristol Grammar School,12.2,Bristol,BS8 1SR,BS8 1,CITY OF BRISTOL,2023
Bristol Metropolitan Academy,45.3,Bristol,BS16 2HD,BS16 ,CITY OF BRISTOL,2023
The City Academy Bristol,35.9,Bristol,BS5 9JH,BS5 9,CITY OF BRISTOL,2023
Cotham School,47.1,Bristol,BS6 6DT,BS6 6,CITY OF BRISTOL,2023
Elmfield School for Deaf Children,2.3,Bristol,BS7 0PU,BS7 0,CITY OF BRISTOL,2023
Fairfield High School,45.4,Bristol,BS7 9NL,BS7 9,CITY OF BRISTOL,2023
Kingsweston School,13.7,Bristol,BS11 0UT,BS11 ,CITY OF BRISTOL,2023
Knowle DGE Academy,2.6,Bristol,BS4 1NN,BS4 1,CITY OF BRISTOL,2023
LPW Independent School,0.9,Bristol,BS3 4AG,BS3 4,CITY OF BRISTOL,2023
Merchants' Academy,29.2,Bristol,BS13 9AJ,BS13 ,CITY OF BRISTOL,2023
Montpelier High School,57.3,Bristol,BS6 5RD,BS6 5,CITY OF BRISTOL,2023
North Star 240°,7.8,Bristol,BS11 0QA,BS11 ,CITY OF BRISTOL,2023
